type,date,num1,num2,num3,num4,num5,num6,download_time
Mega Millions,2003-12-05,12,44,15,18,1,42,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2003-12-09,14,15,48,4,24,41,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2003-12-12,16,32,46,9,45,26,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2003-12-16,47,16,31,24,46,47,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2003-12-19,5,10,39,17,35,38,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2003-12-23,2,49,13,21,22,52,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2003-12-26,29,20,10,17,1,36,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2003-12-30,46,21,12,32,18,49,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-01-02,8,7,36,48,44,9,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-01-06,32,7,15,25,13,9,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-01-09,49,24,47,32,38,12,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-01-13,18,21,17,45,3,21,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-01-16,49,12,26,41,44,44,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-01-20,45,5,14,7,21,36,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-01-23,18,10,33,46,51,13,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-01-27,38,20,10,50,6,27,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-01-30,40,28,17,51,30,44,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-02-03,41,26,21,35,9,17,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-02-06,6,16,49,30,1,13,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-02-10,32,22,10,3,7,23,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-02-13,30,45,14,43,42,30,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-02-17,36,34,2,52,8,21,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-02-20,1,30,21,20,13,24,"2024-11-16, 11:54:38 PM CST"
