type,date,num1,num2,num3,num4,num5,num6,download_time
Powerball,2010-02-03,37,52,22,36,17,24,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-02-06,22,54,52,14,59,4,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-02-10,29,8,37,38,5,34,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-02-13,14,10,40,51,30,1,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-02-17,36,7,26,8,19,15,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-02-20,13,54,41,37,27,32,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-02-24,50,17,57,35,4,12,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-02-27,47,18,58,53,51,30,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-03-03,14,49,9,7,45,23,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-03-06,41,33,10,59,29,15,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-03-10,41,37,17,50,21,1,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-03-13,16,36,20,6,31,8,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-03-17,55,26,48,45,24,8,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-03-20,9,36,44,45,39,9,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-03-24,14,49,39,24,20,7,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-03-27,21,7,32,52,44,10,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-03-31,13,45,54,5,17,12,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-04-03,15,59,52,10,31,4,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-04-07,36,52,44,4,40,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-04-10,21,22,52,49,58,34,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-04-14,14,6,32,52,38,20,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-04-17,22,41,49,21,5,15,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-04-21,11,34,55,41,49,20,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-04-24,57,56,1,53,12,5,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-04-28,28,44,12,22,25,24,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-05-01,23,25,16,49,58,20,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-05-05,47,13,34,40,57,11,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-05-08,41,5,57,34,22,31,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-05-12,52,58,53,37,51,38,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-05-15,28,15,36,23,21,20,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-05-19,7,58,55,29,2,27,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-05-22,20,19,47,57,40,29,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-05-26,6,20,10,1,13,32,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-05-29,24,3,28,1,41,10,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-06-02,39,14,43,9,4,38,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-06-05,18,34,40,59,48,25,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-06-09,22,49,27,14,32,5,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-06-12,38,13,12,9,35,30,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-06-16,29,18,11,36,8,6,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-06-19,54,31,9,30,50,39,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-06-23,48,11,45,30,47,10,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-06-26,57,30,13,38,32,25,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-06-30,38,43,6,48,47,27,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-07-03,52,53,3,14,10,3,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-07-07,10,41,44,56,48,4,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-07-10,28,21,20,56,27,4,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-07-14,21,23,38,20,42,6,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-07-17,27,37,22,45,35,3,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-07-21,16,58,22,30,51,25,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-07-24,59,30,46,38,20,27,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-07-28,1,11,20,27,25,2,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-07-31,1,57,16,41,17,15,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-08-04,53,30,19,37,28,36,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-08-07,52,26,31,22,4,30,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-08-11,22,52,10,23,7,29,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-08-14,58,50,36,9,33,31,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-08-18,47,4,33,32,55,39,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-08-21,7,22,10,27,12,26,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-08-25,17,36,29,16,31,23,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-08-28,32,56,4,27,22,13,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-09-01,40,20,21,17,51,19,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-09-04,33,22,42,14,11,38,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-09-08,10,57,51,35,39,20,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-09-11,36,20,59,17,7,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-09-15,7,20,21,34,43,34,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-09-18,18,44,1,39,37,13,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-09-22,10,36,52,24,55,15,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-09-25,8,35,27,16,42,30,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-09-29,52,13,55,44,51,30,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-10-02,30,12,36,20,47,25,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-10-06,26,41,14,37,46,24,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-10-09,42,32,49,6,2,35,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-10-13,46,34,32,22,12,2,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-10-16,28,16,12,11,15,11,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-10-20,20,39,7,17,59,17,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-10-23,20,2,46,7,16,34,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-10-27,25,24,20,59,53,15,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-10-30,49,7,27,1,36,39,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-11-03,34,45,38,39,50,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-11-06,7,12,23,34,38,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-11-10,5,8,44,40,11,10,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-11-13,30,51,17,48,54,29,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-11-17,14,59,54,53,16,5,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-11-20,12,10,38,53,57,1,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-11-24,20,8,21,37,32,4,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-11-27,47,37,30,54,10,39,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-12-01,10,5,12,11,20,2,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-12-04,27,24,42,31,13,22,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-12-08,25,8,11,58,41,16,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-12-11,1,8,19,10,20,23,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-12-15,32,18,45,10,11,18,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-12-18,43,19,4,11,33,14,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-12-22,33,11,44,47,46,12,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-12-25,52,50,1,38,17,24,"2024-11-16, 11:54:38 PM CST"
Powerball,2010-12-29,18,37,20,16,3,30,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-01-01,37,47,18,22,54,36,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-01-05,40,22,32,26,38,7,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-01-08,7,52,6,33,26,24,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-01-12,48,23,40,21,19,27,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-01-15,22,13,9,37,23,31,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-01-19,36,51,56,22,59,32,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-01-22,34,30,51,31,45,23,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-01-26,4,47,58,5,36,6,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-01-29,28,45,24,52,49,2,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-02-02,33,57,53,3,14,36,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-02-05,15,41,59,37,56,5,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-02-09,51,39,42,11,7,30,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-02-12,32,52,36,48,11,19,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-02-16,23,48,21,9,13,24,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-02-19,12,34,3,42,37,36,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-02-23,32,36,39,29,49,29,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-02-26,4,45,21,17,13,10,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-03-02,50,58,7,31,51,6,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-03-05,42,31,23,48,2,21,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-03-09,12,20,28,40,48,8,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-03-12,4,41,1,12,47,3,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-03-16,53,28,48,39,40,9,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-03-19,11,20,46,27,3,8,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-03-23,15,28,5,26,32,9,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-03-26,10,4,11,33,19,27,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-03-30,58,56,20,19,42,37,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-04-02,43,22,34,6,45,23,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-04-06,56,18,55,10,41,15,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-04-09,53,5,56,14,32,11,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-04-13,4,49,39,50,23,39,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-04-16,21,55,33,45,44,7,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-04-20,9,24,43,34,36,27,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-04-23,58,11,3,48,47,19,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-04-27,40,44,55,24,4,5,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-04-30,41,15,6,13,32,3,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-05-04,15,41,29,27,3,24,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-05-07,11,55,47,2,27,15,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-05-11,43,32,9,45,17,31,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-05-14,40,18,17,8,44,16,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-05-18,7,12,42,49,13,16,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-05-21,8,49,2,40,50,36,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-05-25,50,4,31,42,23,23,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-05-28,43,12,20,51,55,11,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-06-01,56,38,46,8,18,31,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-06-04,17,58,39,19,41,21,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-06-08,53,37,14,44,45,29,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-06-11,50,16,18,36,27,8,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-06-15,41,43,20,19,38,29,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-06-18,22,38,21,12,41,18,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-06-22,59,12,46,19,15,12,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-06-25,18,39,57,36,41,12,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-06-29,30,24,57,59,45,26,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-07-02,11,29,1,51,18,32,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-07-06,55,50,24,11,15,8,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-07-09,31,9,23,1,11,6,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-07-13,54,18,8,19,32,8,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-07-16,28,48,54,24,50,25,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-07-20,40,42,38,1,4,17,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-07-23,38,1,48,27,7,30,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-07-27,40,51,59,41,38,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-07-30,55,20,40,47,41,19,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-08-03,49,19,13,28,21,11,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-08-06,57,59,54,25,30,6,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-08-10,46,41,36,18,11,38,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-08-13,35,9,50,12,58,4,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-08-17,31,28,48,18,52,37,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-08-20,23,2,47,28,17,36,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-08-24,49,53,13,9,47,39,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-08-27,2,54,12,58,25,14,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-08-31,19,35,57,47,13,29,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-09-03,15,52,25,53,54,2,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-09-07,54,3,5,27,18,13,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-09-10,32,53,22,4,19,24,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-09-14,16,50,42,59,41,5,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-09-17,43,22,6,20,32,11,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-09-21,47,52,55,48,12,13,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-09-24,27,12,3,4,44,26,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-09-28,41,51,30,50,53,8,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-10-01,27,43,12,23,1,31,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-10-05,46,7,43,54,20,17,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-10-08,35,3,37,27,45,31,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-10-12,43,10,12,23,47,18,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-10-15,38,24,5,10,43,1,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-10-19,26,35,16,52,58,2,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-10-22,8,3,23,30,58,13,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-10-26,39,21,1,18,55,6,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-10-29,11,40,16,51,56,38,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-11-02,12,39,14,46,34,36,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-11-05,43,39,2,33,40,26,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-11-09,58,59,35,5,57,12,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-11-12,56,4,35,51,36,8,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-11-16,22,25,39,13,51,28,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-11-19,16,9,17,28,30,11,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-11-23,30,35,57,4,59,25,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-11-26,55,20,37,45,39,28,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-11-30,47,6,2,34,35,22,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-03,18,5,33,43,45,8,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-07,39,20,14,40,3,37,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-10,33,41,4,19,59,9,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-14,46,52,24,56,2,19,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-17,59,28,51,13,49,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-21,31,15,13,54,10,18,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-24,52,51,16,14,30,19,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-28,16,27,45,41,21,14,"2024-11-16, 11:54:38 PM CST"
Powerball,2011-12-31,5,25,40,23,28,34,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-04,50,35,21,47,46,2,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-07,3,24,38,21,39,24,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-11,47,5,29,45,19,25,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-14,41,30,10,36,38,1,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-18,50,34,29,6,44,28,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-21,44,12,43,24,45,7,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-25,28,19,29,47,4,5,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-01-28,41,54,59,33,5,13,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-01,8,13,59,17,34,35,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-04,23,56,43,45,15,7,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-08,38,51,17,28,39,33,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-11,37,52,10,1,57,11,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-15,12,11,32,56,52,11,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-18,23,50,28,59,56,5,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-22,17,39,16,7,51,32,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-25,54,11,6,42,53,7,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-02-29,26,1,11,4,23,14,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-03-03,47,30,29,49,45,35,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-03-07,45,35,47,46,12,12,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-03-10,5,41,20,14,17,5,"2024-11-16, 11:54:38 PM CST"
Powerball,2012-03-14,1,8,59,46,41,24,"2024-11-16, 11:54:38 PM CST"
